#lambda/nm	DC	C1
561.396	12112.8	12169.8
561.801	11657.8	11730.4
562.227	11226.2	11252
562.631	10889.8	10948.4
563.036	10607.2	10685.6
563.462	10461.2	10488.4
563.867	10202.4	10274
564.272	10022.4	10059.4
564.698	9880	9927.8
565.103	9697.8	9723.8
565.508	9555.8	9593.6
565.935	9402.6	9483.8
566.34	9270.8	9284.2
566.745	9125	9147.2
567.172	9012.4	9078.2
567.577	8917.8	8991.2
567.982	8813.4	8901.6
568.409	8783.6	8785.6
568.815	8680.4	8747.8
569.22	8671.6	8697.2
569.626	8658.8	8657.8
570.053	8621	8666.8
570.459	8604.4	8603
570.865	8634.8	8615.6
571.292	8587.6	8627.4
571.698	8601.6	8614.6
572.104	8617.2	8648
572.531	8623	8670.6
572.937	8771.8	8803.2
573.343	8937.4	8904.8
573.75	9052.8	9094.6
574.177	9275.8	9294.8
574.583	9610.8	9616
574.99	10123.2	10143.2
575.396	11284.4	11325.8
575.824	12901.4	12905
576.231	14677.2	14774.2
576.637	16596.8	16729.4
577.065	18743.4	18894.4
577.472	21345.8	21443
577.879	24257.4	24441.4
578.286	27411	27603.2
578.714	30465.6	30761.8
579.121	33357.8	33683.6
579.528	35522.4	35801.6
579.935	37521.2	37840.2
580.364	39717	39878.6
580.771	41673.6	41957.4
581.178	43535.8	43818.2
581.585	44873	45259.4
582.014	46488.6	46609.4
582.421	48132	48226.6
582.829	49627.4	49887.6
583.236	51068	51236.2
583.644	52632.8	52713.8
584.073	54001.2	54087.8
584.481	55273	55357.6
584.889	56411	56586
585.296	57544.6	57690
585.726	59130	59197.6
586.134	60511	60638.2
586.542	61642.4	61782.6
586.95	62869	62875.8
587.358	63542.2	63560.6
587.787	64253.6	64322.4
588.196	64509.2	64628.6
588.604	64845	64927.8
589.012	64375.4	64345.2
589.421	62768.4	62833
589.851	60511	60567.6
590.259	58031.8	58153.8
590.668	55742.4	55923.8
591.076	53748.8	53841.4
591.485	52230	52290
591.894	51066.4	51166.4
592.324	50021.2	50060.4
592.733	49029.2	49186.4
593.142	48216.2	48281.6
593.551	47274.2	47285
593.96	46095.2	46215
594.369	44520	44510
594.8	42640.8	42819.6
595.209	40283.6	40349.2
595.618	37740.6	37811.8
596.028	35337.2	35407.4
596.437	33146	33146.8
596.847	31347.6	31489.6
597.256	30071	30207.4
597.687	29291.8	29352.2
598.097	28885.4	29008.6
598.507	28721.4	28695
598.917	28665.4	28819.4
599.327	28864.6	28927.2
599.736	28915	28909.6
600.146	28853.2	28895.4
600.556	28524	28511.6
600.988	27781.6	27892.6
601.398	26902	26893
601.808	25636	25655.6
602.219	24354.6	24382.8
602.629	23120.4	23109
603.039	21940	21930.6
603.45	20928.8	20985
603.86	20091.2	20158.6
604.271	19493	19614
604.703	19134.2	19174.8
605.114	19071.8	19177.6
605.525	19265.6	19363
605.935	19839.8	19895.4
606.346	20770.4	20861.4
606.757	22286.4	22374.4
607.168	24654.8	24768.4
607.579	28548.2	28655
607.99	35354.8	35570.6
608.402	47619.2	47825.4
608.813	66654.6	66750.2
609.224	77285.6	77285.6
609.636	77232.2	77232.2
610.047	77183.8	77183.4
610.48	77140.4	77140
610.892	77101.8	77101.4
611.303	77067.2	77067
611.715	77036.2	77036
612.127	77008	77008
612.539	76983.2	76982.6
612.95	76960.2	76960.4
613.362	76939.4	76939
613.774	76920.8	76919.6
614.186	76904.8	76904
614.599	76889.2	76889
615.011	76875.6	76874.6
615.423	76863	76862.4
615.835	76851.6	76851.2
616.248	76841.8	76840.6
616.66	76833	76831.6
617.073	76824.2	76823.2
617.485	76816.2	76815.6
617.898	71090.2	71258.2
618.311	65653.4	65694.6
618.723	61326.8	61483.8
619.136	58324.4	58479.8
619.549	56190.8	56278.2
619.962	54708.6	54709.8
620.375	53506.4	53580.4
620.788	52588.2	52742.2
621.201	51790.2	51805.6
621.614	50889.8	51075.2
622.028	50114.8	50169.8
622.441	49190.2	49285.6
622.854	48291.2	48328.2
623.268	47299.2	47379.4
623.681	46213.2	46308
624.095	45245.2	45238.2
624.509	44203.2	44168
624.922	43046.4	43067.6
625.336	41909.2	41992
625.728	40801	40909.2
626.142	39777.8	39827.4
626.556	38914.6	39073.8
626.97	38406.2	38403
627.384	38458	38438
627.799	39203.4	39188.2
628.213	40365	40410
628.627	41587.6	41619.2
629.041	42561.6	42746.8
629.456	43404	43648.8
629.87	43850.6	44058.4
630.285	43970.6	44151.6
630.699	43555.8	43641
631.093	42056.6	42187.6
631.507	39683.8	39774.4
631.922	36636.4	36636.4
632.337	33258.8	33323.8
632.752	30017.6	29916.6
633.167	26754.6	26813.8
633.582	23939.8	24010.6
633.997	21421.6	21413.8
634.412	19133.8	19144.2
634.806	17246.8	17325.2
635.221	15536.2	15635.8
635.637	14229.6	14184.2
636.052	12946	12968
636.468	11859.8	11930.6
636.883	11037.2	11071.2
637.299	10369.6	10350
637.715	9734.4	9812
638.109	9396.6	9398.2
638.525	9068.6	9102.6
638.941	8867.2	8888.2
639.357	8719.8	8738.8
639.773	8607.4	8610
640.189	8507	8509.6
640.584	8491.2	8509.4
641	8470	8489
641.416	8502.6	8497.6
641.832	8499.6	8539
642.249	8578	8613
642.665	8635.6	8653.2
643.06	8656.8	8714.4
643.477	8710.8	8737.2
643.894	8703.4	8727
644.31	8706.8	8769
644.727	8791.8	8768.2
645.123	8788.6	8794.2
645.54	8864.2	8841.2
645.957	9118.6	9091
646.374	9563.8	9542.8
646.77	10188	10172.6
647.187	10903	10908.8
647.604	11581	11569.8
648.021	12174	12171.8
648.439	12872.4	12858
648.835	13523	13464.8
649.252	14003	14106
649.67	14364.8	14295.4
650.088	14378.8	14374.8
650.484	14016.4	14038.2
650.902	13586.4	13654
651.32	13113.4	13130.4
651.738	12558	12577.6
652.134	11998.8	11990.2
652.552	11425.4	11422.4
652.971	10770.2	10809.8
653.389	10272.6	10219.2
653.786	9777.2	9776.2
654.204	9375.8	9360.8
654.622	8926	8953.8
655.019	8598.2	8561.4
655.438	8244.2	8258.6
655.857	7982	7981
656.275	7694.6	7723.6
656.673	7485	7463.4
657.091	7379.2	7398.2
657.51	7265.4	7266.6
657.908	7353.4	7393.8
658.327	7630.8	7596.4
658.746	7906.4	7864.8
659.144	8187.6	8202
659.563	8571.8	8554.6
659.982	8918.4	8885.4
660.38	9225.2	9238.4
660.8	9518.8	9485.4
661.219	9608.2	9638.6
