#lambda/nm	DC	C1
559.736	15569.6	15558.2
560.162	14420.6	14413.6
560.566	13446.2	13468
560.992	12691.4	12655.8
561.396	12066.4	12098.6
561.801	11556	11554.6
562.227	11153.6	11155.4
562.631	10864.8	10843.4
563.036	10570.4	10604.8
563.462	10358.2	10329.2
563.867	10146	10183.2
564.272	9964.4	10006.6
564.698	9804.6	9809
565.103	9643.8	9652
565.508	9477.4	9511.4
565.935	9352.4	9331.8
566.34	9206.8	9205.6
566.745	9080.8	9071.8
567.172	8950.8	8949.4
567.577	8863.8	8861.4
567.982	8790.6	8758.6
568.409	8696.2	8677.4
568.815	8621.2	8644
569.22	8612.6	8600
569.626	8598.4	8588.4
570.053	8531.4	8523
570.459	8556.4	8552.8
570.865	8489	8527.4
571.292	8543.4	8512.8
571.698	8568.4	8500.4
572.104	8536.4	8543.6
572.531	8587.4	8608
572.937	8670.2	8654.2
573.343	8796.2	8807
573.75	8922.4	8973
574.177	9182.2	9192.4
574.583	9512.8	9452.6
574.99	10112.8	10107.4
575.396	11226.6	11233.4
575.824	12873.2	12919.4
576.231	14750.6	14781.4
576.637	16782	16761
577.065	18979.6	19006
577.472	21635.4	21693.4
577.879	24722	24768.4
578.286	27977	27995.4
578.714	31113.4	31278
579.121	34045.6	34188.4
579.528	36231	36357.8
579.935	38244.8	38384.4
580.364	40305.8	40451.8
580.771	42328.6	42377.2
581.178	44005	44168.4
581.585	45407	45457.4
582.014	46841	46828.2
582.421	48383	48278.6
582.829	49741.4	49734.8
583.236	51224.4	51147.8
583.644	52652.4	52447
584.073	53934.4	53893.2
584.481	55258.6	54926.8
584.889	56314.4	56111
585.296	57587.6	57323.8
585.726	58888.2	58714.4
586.134	60246.6	60141.8
586.542	61464.2	61283
586.95	62691.4	62431.2
587.358	63347.6	62985.2
587.787	64019.8	63680
588.196	64346.2	64072.4
588.604	64509.2	64316.4
589.012	64085.8	63889.4
589.421	62566.6	62282
589.851	60191.6	60044.6
590.259	57794	57631.4
590.668	55604.2	55275.6
591.076	53554.4	53350.2
591.485	52018.2	51804.6
591.894	50775.8	50750.4
592.324	49929.2	49822.4
592.733	49031	48820.4
593.142	48061	47894.2
593.551	47121.6	46952.2
593.96	45919.8	45806
594.369	44498.6	44298.6
594.8	42502.8	42316.2
595.209	40212.2	40035
595.618	37649.6	37544.2
596.028	35173	35113.2
596.437	33026.6	32985.2
596.847	31298	31198.4
597.256	30017.4	29944
597.687	29236.8	29163.8
598.097	28804.8	28723
598.507	28648.8	28569.2
598.917	28679.8	28624.2
599.327	28825.8	28727
599.736	28856.8	28802.2
600.146	28741	28704.2
600.556	28452.6	28374.6
600.988	27711	27661.2
601.398	26751	26651.8
601.808	25593.2	25505.8
602.219	24267.4	24143.8
602.629	23041.8	22918.6
603.039	21827.8	21872
603.45	20869	20836.4
603.86	19967.8	19986.6
604.271	19511	19467.2
604.703	19165.6	19115.2
605.114	19040.2	19078.2
605.525	19280.4	19267
605.935	19884.4	19771.6
606.346	20790.6	20708
606.757	22373.2	22388.4
607.168	24774.8	24678
607.579	28700.2	28663.8
607.99	35670.8	35567.6
608.402	47836	47727.6
608.813	66863	66648
609.224	77285.6	77285.6
609.636	77230.8	77232.6
610.047	77183	77184
610.48	77139.4	77141.4
610.892	77101.4	77102
611.303	77066.4	77067.6
611.715	77035.6	77035.8
612.127	77007.2	77008.4
612.539	76982	76983.2
612.95	76959.6	76960.4
613.362	76939	76939.8
613.774	76920.4	76921
614.186	76904.2	76904.8
614.599	76889	76889.6
615.011	76875.4	76875.8
615.423	76862.2	76864
615.835	76851.6	76852
616.248	76841.2	76842.2
616.66	76832.4	76832.8
617.073	76823.8	76824.8
617.485	76816.4	76817.2
617.898	71140.8	70956.4
618.311	65653.4	65487.4
618.723	61319.6	61150.8
619.136	58306	58127.6
619.549	56143.2	56023.2
619.962	54723.8	54531.2
620.375	53409	53337.4
620.788	52591.6	52334.4
621.201	51756.6	51586.2
621.614	50872.8	50692.8
622.028	50057.2	49835.4
622.441	49090.8	48907.2
622.854	48107	48076.6
623.268	47241.8	46996.2
623.681	46107.6	46008.2
624.095	45149	44906.4
624.509	44087.6	43910.4
624.922	43050.2	42791.8
625.336	41825	41621.8
625.728	40834.2	40588.6
626.142	39723.6	39655
626.556	38887.4	38753.6
626.97	38361.4	38219.8
627.384	38429.8	38346
627.799	39125	39088.4
628.213	40329.2	40277.4
628.627	41639.4	41423
629.041	42620.2	42491.2
629.456	43477.2	43256.2
629.87	43951.4	43725
630.285	43942.6	43924.2
630.699	43465.8	43276.8
631.093	42112.4	41971.6
631.507	39771.4	39584.2
631.922	36618	36466.6
632.337	33223.4	33117
632.752	29853.2	29805
633.167	26681.6	26703.6
633.582	23876.8	23877.4
633.997	21377.8	21270
634.412	19130	19069.4
634.806	17220.2	17209
635.221	15535.6	15489.2
635.637	14182	14141.2
636.052	12958.2	12887
