#lambda/nm	DC	C1
373.696	675.4	674.8
374.097	675	676
374.499	697.8	694.2
374.9	675.2	661
375.301	663.2	662.4
375.703	668.8	670
376.105	656	659.2
376.506	668	661.8
376.908	674	674.2
377.309	665	660.6
377.711	665.8	665.8
378.113	662.4	661.8
378.493	671.8	667
378.895	662.8	661.8
379.297	672.4	677.6
379.699	640.4	650.8
380.102	666.6	671.2
380.504	668.8	658.4
380.906	656.2	657.6
381.308	693.2	684.2
381.71	657.6	664.4
382.113	674.6	674.6
382.515	664.6	656.8
382.918	673.6	673.6
383.299	666.6	667.8
383.701	677.4	667.8
384.104	674.6	670.2
384.507	648.8	653.2
384.909	661	669.6
385.312	651.2	650.6
385.715	650.2	650.4
386.118	672.2	661
386.521	650.8	653.8
386.924	667.8	677.8
387.327	655.8	656.8
387.709	647.4	647.6
388.112	649.6	657.2
388.515	659.8	665.8
388.918	668	662.8
389.322	666.4	663
389.725	660.2	661
390.129	684.6	688.4
390.532	669.8	672.8
390.936	661	667.4
391.339	650.2	656.6
391.743	658.2	672
392.125	659.4	653
392.529	673.2	675
392.933	679.2	671
393.337	663.6	658.4
393.74	655	675.2
394.144	664.8	662.8
394.548	658.6	657.8
394.953	667	657.8
395.357	670.2	665.8
395.761	667.8	661.4
396.144	666.4	669.2
396.548	661	662
396.952	672.8	664.4
397.357	668.2	668.8
397.761	664	658.2
398.166	672	663.8
398.57	661	659.8
398.975	659.4	648.6
399.379	659	667.4
399.763	710.4	722.8
400.168	659.6	665
400.572	660.6	666
400.977	660.6	671.6
401.382	691.4	693.2
401.787	669.4	674
402.192	680.6	680.6
402.597	679.8	672.4
403.002	657.2	657.8
403.386	678	679
403.791	681	686.2
404.197	657.4	659.6
404.602	664	672.2
405.007	664.8	666.6
405.413	662.4	661.2
405.818	662.2	669.8
406.224	658.8	655.4
406.608	667.4	667.4
407.014	649.6	660.4
407.42	685	679
407.825	670	661
408.231	683.6	673.8
408.637	665.4	679.6
409.043	685	682.8
409.449	656	666
409.834	663.4	656.6
410.24	675.8	668.4
410.646	680.4	676.6
411.052	670.6	679
411.458	667.4	674
411.865	678	668.2
412.271	673.4	671.6
412.677	669.4	669
413.062	681.6	671.4
413.469	659.2	656
413.875	694	692.4
414.282	687.6	686.4
414.689	664.6	670.6
415.095	667.8	672.8
415.502	660.4	652.6
415.888	666.2	667
416.294	653	659.8
416.701	705.4	709.8
417.108	661.6	649.8
417.515	672.8	673.2
417.923	664.4	659.6
418.33	695.8	685.4
418.715	682	678
419.123	661.8	662.8
419.53	663	661.6
419.937	666	670
420.345	688.8	690.4
420.752	658.8	666.8
421.16	676.6	682.2
421.546	663.2	665.2
421.953	673.8	674.6
422.361	648.8	653.8
422.769	666.2	659
423.177	663.6	652.6
423.585	693.6	694.4
423.992	698	695.4
424.379	681.6	684.4
424.787	669.6	674.6
425.195	695.4	678.4
425.603	667.4	667
426.011	683	677
426.419	680.8	685
426.806	667.4	669.2
427.214	669.8	685.2
427.623	677.2	676
428.031	687.8	684
428.44	676	671.4
428.848	686.8	686.6
429.235	676	687.6
429.644	669.6	667.4
430.053	673.2	668.2
430.461	689.4	679.6
430.87	688.4	699
431.279	677	683.8
431.666	655.4	666.2
432.075	677	670.4
432.484	671	670.4
432.893	666.4	660.6
433.302	684.4	687.2
433.711	721.4	713.8
434.099	677.2	676
434.508	656.6	661
434.918	659	660
435.327	678.4	674
435.737	664.6	667.8
436.125	670.6	670
436.534	668.6	671.8
436.944	669.8	667
437.353	670.8	666.6
437.763	689.4	693.8
438.173	661.2	667.4
438.561	675.8	676
438.971	655.2	650.8
439.381	667	664.8
439.791	667.6	673.2
440.201	644.4	646.4
440.589	665.2	673.2
440.999	669	673.2
441.409	665.2	667
441.819	657.6	657.6
442.23	675.8	678.8
442.619	678.8	683.4
443.029	668.8	664.6
443.439	669.2	668
443.85	674	679.4
444.26	679.2	688.8
444.649	672.2	676.2
445.06	660.8	677.6
445.471	667.6	660.6
445.881	662.2	672.2
446.292	679.4	684.2
446.682	694.6	697
447.092	648.2	659
447.503	718.2	725.6
447.914	668.4	666.6
448.325	667.2	665.4
448.715	660	670.4
449.126	665.8	660.6
449.537	667	666.6
449.948	666.2	667.2
450.338	669.4	669.6
450.75	676.4	679.8
451.161	671.4	677.4
451.572	681.8	678.6
451.984	663.6	660.4
452.374	653.8	651
452.786	667.8	659
453.197	673.2	670.6
453.609	673	676.4
453.999	649.2	657.4
454.411	653.4	655.2
454.823	681.2	680.6
455.235	672.4	669.8
455.647	662.2	662.6
456.037	674.4	666.2
456.449	649	644
456.862	670	668.6
457.274	673.2	672.2
457.665	666.4	653
458.077	669	674.2
458.489	702.8	689
458.902	666	663.8
459.293	670.4	662
459.705	660.6	661.8
460.118	664.2	662.6
460.53	667	671.2
460.921	662.8	661.6
461.334	670.4	666.2
461.747	660.4	664.4
462.16	683.8	682.2
462.551	682.2	682.4
462.964	672.8	679.2
463.377	652.6	651.2
463.79	663.8	656.6
464.182	671.4	680.6
464.595	647.6	657.8
465.008	663.4	659.2
465.421	668	666.4
465.813	656.4	668.4
466.226	673.2	673.2
466.64	658.2	663.6
467.053	709.4	712.8
467.445	670	673
467.859	681.6	688.6
468.272	659.2	663.4
468.686	666.8	670.8
469.078	665.6	654.2
469.492	647.2	652
469.906	659.6	661.6
470.298	668.2	667.6
470.712	657.2	657
471.126	715	723.2
471.54	645.8	639.8
471.933	653	652.4
472.347	654.4	660.8
472.761	656.2	651.8
473.175	655.4	650.6
473.568	658.2	659.6
473.982	653.8	652
474.397	657	666.8
474.79	660.2	664.8
475.204	667	666.2
475.619	651.6	657.6
476.033	669.4	664.8
476.426	661	657.8
476.841	654	651.2
477.256	685.8	684.6
477.649	654.6	650
478.064	656.8	651.2
478.479	653.8	649.6
478.872	652.2	656.2
479.287	638.6	640
479.702	650.6	649.2
480.118	658.6	658.6
480.511	655.2	652.8
480.927	651	658.6
481.342	652	661.6
481.736	664.6	661.2
482.151	645.2	651
482.566	668.2	672.2
482.96	656.4	658.6
483.376	657.4	678.8
483.792	646.4	654.2
484.186	653.4	670.6
484.602	656.2	656.4
485.017	656.2	662.6
485.412	657.8	661
485.827	665.2	667.2
486.243	654.2	658
486.638	684	682.4
487.054	668	672
487.47	674.4	677.4
487.865	657.2	653.2
488.281	655.8	650
488.697	648.4	663.2
489.092	658.8	660.4
489.508	655.8	656
489.925	676.4	673.8
490.32	653.4	647.8
490.736	657.8	667.4
491.153	660.4	661.6
491.548	659.4	660.6
491.964	669	672
492.381	648	647.6
492.776	664.2	659.2
493.193	654.8	658.6
493.61	669.8	669.6
494.006	659.8	662.4
494.422	661.4	665.2
494.84	651.2	650.6
495.235	686.6	672.4
495.652	664.4	657.6
496.069	664.4	660.4
496.465	650.6	649.4
496.883	651.6	664
497.3	692.8	690
497.696	656.2	654.2
498.113	667	667.6
498.509	649.6	655.2
498.927	651.2	651
499.344	648.4	651.8
499.741	650.4	656.4
500.158	672.6	667.6
500.576	670.4	677.2
500.973	659.6	660.2
501.39	650.6	655.6
501.787	650.4	654.6
502.205	663.2	665.6
502.623	656.6	653
503.02	646.8	647.6
503.438	658.2	649.8
503.856	658.2	656.4
504.253	669.4	668.4
504.671	659.6	668.8
505.068	660.2	651
505.486	654	661
505.905	684.6	675.6
506.302	660.2	667.8
506.72	673.8	679.6
507.118	658.8	656.2
507.536	654.2	668.6
507.955	658.2	652.2
508.352	663.4	665.6
508.771	655	661.4
509.169	661.2	671.8
509.587	652	650
510.006	662.8	666.6
510.404	639.8	662.4
510.823	652.8	655.6
511.221	657.8	664.4
511.64	654.8	662.8
512.038	677	665.8
512.457	664.8	668.2
512.877	671.2	660.6
513.275	660	648.4
513.694	655.2	671
514.092	661.8	661.6
514.512	668.2	676.6
514.91	657	656.4
515.33	658	663.4
515.749	669	664.4
516.148	662.8	667.2
516.568	664.4	665.2
516.966	659.2	664.6
517.386	658.6	650.6
517.785	672.6	658.8
518.205	663.6	646.8
518.603	654.6	648
519.024	656	653.8
519.444	663.4	656.2
519.843	678.2	671.4
520.263	675.8	669
520.662	671.2	670
521.082	659.4	655
521.481	666.4	667.4
521.902	659.8	655.8
522.301	662	668.4
522.722	661.8	673.6
523.121	662.8	660.6
523.542	659.4	661.6
523.963	666.6	670.8
524.362	662.8	655.4
524.783	667.4	664.8
525.183	668.6	652.6
525.604	662.2	673.6
526.003	649.6	655
526.425	652.2	661
526.824	674.2	671.2
527.246	667.8	671.6
527.646	678.6	673
528.067	659.8	664.2
528.467	661.4	659.2
528.888	663.8	664.6
529.289	661.2	661.4
529.71	662.8	665
530.11	656.2	665.4
530.532	655.8	668
530.932	653.6	663
531.354	646.2	652.2
531.755	689.8	695
532.176	674	673.2
532.577	658.4	667.6
532.999	656.8	668
533.4	653.8	664.2
533.822	675.2	671.2
534.223	667.2	663.4
534.645	659	660
535.046	648.6	660.2
535.468	660.8	653.2
535.869	675.8	676
536.292	655.8	656.6
536.693	689.6	693.2
537.115	655.2	663
537.516	661.2	648.4
537.939	655	652.6
538.34	674.8	676.4
538.742	671	667.6
539.165	659.4	657.2
539.566	657.8	660.2
539.989	645.2	643.2
540.391	650.6	658.2
540.814	656.8	657.8
541.216	667.6	659.8
541.639	657.8	656
542.041	671.6	665
542.464	648	658.2
542.866	648.6	659
543.268	642.8	643.4
543.691	663.4	655.6
544.093	669	667.4
544.517	679.6	681.4
544.919	650.8	654.4
545.343	682.4	681.2
545.745	646.8	650.2
546.147	665.6	662.4
546.571	644.2	655
546.974	643.6	654
547.398	654.4	668
547.8	663.8	670.2
548.224	653.2	650.4
548.627	650.4	662.4
549.03	662.4	663.4
549.454	649.8	639.4
549.857	642.2	644.6
550.281	644	653.6
550.684	646.6	653.4
551.087	670.6	667.2
551.512	663.2	663.8
551.915	674	665.6
552.34	667.4	653.8
552.743	648.4	646.6
553.146	655.4	654
553.571	647.6	650.2
553.975	676.6	680.4
554.399	644.4	651.6
554.803	703.6	702.6
555.207	654.8	641
555.632	647.8	648.8
556.036	666.8	655.2
556.461	649.2	644
556.865	661.4	649
557.268	655	654.2
557.694	666.6	650.6
558.098	653.2	666.2
558.502	664.2	660.2
558.927	651.4	653
559.332	659	659.8
559.736	662.4	661.8
560.162	668.2	667.8
560.566	656.2	654.4
560.992	659.2	663.8
561.396	653.6	659.4
561.801	661	655.6
562.227	665.8	657.8
562.631	656.6	652.4
563.036	653.4	660.8
563.462	666.8	670.6
563.867	662.6	663
564.272	637.6	644
564.698	663.6	663.2
565.103	643.2	652.2
565.508	671	683.4
565.935	657.6	653.6
566.34	650	659.6
566.745	671.6	665.8
567.172	640	649
567.577	677.4	671.2
567.982	665.4	665
568.409	656.8	661
568.815	649	649.8
569.22	659	651
569.626	656.4	665.2
570.053	647	645.2
570.459	654	663.4
570.865	655.8	667
571.292	667.8	655.2
571.698	658.6	649.2
572.104	638.4	640.6
572.531	653.8	648.2
572.937	667.2	660.8
573.343	650.2	653
573.75	646	652.6
574.177	652	656
574.583	649.8	650.2
574.99	650.2	649.2
575.396	663.2	662.6
575.824	644.4	654.8
576.231	660.6	652.4
576.637	645.6	648
577.065	680.4	680.6
577.472	647.6	648.8
577.879	648.8	650.6
578.286	669.2	667.4
578.714	638.2	642
579.121	646.2	651.6
579.528	659.8	654.6
579.935	669.8	661.8
580.364	654.8	649.6
580.771	642	637
581.178	642.2	643.6
581.585	655.4	651.4
582.014	657	664.4
582.421	644	644.6
582.829	652.6	648.6
583.236	665.8	657.8
583.644	641	648.8
584.073	644	654.2
584.481	648	643
584.889	642.4	642.4
585.296	651.4	652
585.726	651.2	645.6
586.134	645	639.8
586.542	642.2	650.2
586.95	670.2	675.6
587.358	640.6	636.4
587.787	646.4	656.4
588.196	644.4	643.8
588.604	646.6	646.8
589.012	647.8	649
589.421	638.2	643.4
589.851	643.4	648.4
590.259	653	657
590.668	644.6	647
591.076	689.4	693.6
591.485	645.2	650.2
591.894	649	658.4
592.324	659.4	663.2
592.733	661.8	664.6
593.142	638.2	641
593.551	641.8	646.2
593.96	654.8	654.6
594.369	645.6	638.4
594.8	642.8	639.2
595.209	642.4	656
595.618	639.6	636.2
596.028	647.4	641.8
596.437	646.2	634.8
596.847	646.6	658.2
597.256	658.8	654.6
597.687	657.8	664.8
598.097	655	650.4
598.507	645	647.8
598.917	662.4	655.4
599.327	658.6	656.8
599.736	655.8	653.8
600.146	659	662
600.556	659	655
600.988	661.2	662.6
601.398	654.4	655.2
601.808	662.8	668
602.219	651	640.4
602.629	650	650.4
603.039	659.6	657.4
603.45	676.8	678
603.86	656.8	669
604.271	672.8	670.6
604.703	651.6	657.6
605.114	655.6	655.2
605.525	651.6	648.8
605.935	657.2	659.8
606.346	672.6	682
606.757	655.2	667
607.168	655	660.6
607.579	648.4	644.4
607.99	665	666.8
608.402	652.2	658.2
608.813	658.8	662.8
609.224	638.6	653.6
609.636	640.2	646.8
610.047	657	643.2
610.48	652	658.4
610.892	662.2	671.8
611.303	656.8	663.6
611.715	653.8	654.4
612.127	649	646.8
612.539	650.6	648.8
612.95	656	649.6
613.362	643.6	640.4
613.774	639.2	638.6
614.186	638.8	653
614.599	639	655.6
615.011	662.6	665.6
615.423	646.8	656.6
615.835	638.4	651.2
616.248	646.6	643.8
616.66	651.6	658.4
617.073	641.6	660
617.485	646.6	647.4
617.898	658.2	655.8
618.311	654	652.2
618.723	647	649.6
619.136	684	684.4
619.549	669.4	664.6
619.962	675	677.2
620.375	654	650
620.788	657.8	662.6
621.201	646.2	648.2
621.614	667.6	656.6
622.028	647.2	645.2
622.441	654.4	652.8
622.854	670.2	667.2
623.268	642.2	640.6
623.681	660	663.6
624.095	652.8	658.8
624.509	666.6	657.8
624.922	659.8	654.6
625.336	643.6	644
625.728	658.8	651.2
626.142	667	667
626.556	669	675.2
626.97	659	661.2
627.384	647.6	654.2
627.799	648.8	649.2
628.213	661.4	666.4
628.627	651.2	649
629.041	657	645.2
629.456	653.2	651.2
629.87	655	657.4
630.285	665.4	666.4
630.699	664.2	663.6
631.093	647	656.6
631.507	659.4	650.4
631.922	660.2	648
632.337	669	666.4
632.752	652.6	648.4
633.167	648.6	652
633.582	652.6	651.6
633.997	649	654.4
634.412	642.4	646.2
634.806	653.2	650
635.221	644	640.8
635.637	665.2	660.6
636.052	642.2	642
636.468	651.8	653.6
636.883	673.4	676.4
637.299	650.6	648.8
637.715	643	639.4
638.109	649.8	652
638.525	640.6	634.6
638.941	663.6	663
639.357	655.4	648.8
639.773	660.4	658.2
640.189	645.2	641.4
640.584	645.2	640
641	653.2	650.6
641.416	643.6	634.6
641.832	638.2	643.4
642.249	649	645.8
642.665	652	650
643.06	658.4	653
643.477	663.8	654.2
643.894	642	638.8
644.31	653.6	646.8
644.727	646.4	643.4
645.123	653.6	644.8
645.54	647.6	638.8
645.957	643.4	650.6
646.374	658.2	673.4
646.77	652.8	651
647.187	675.4	679.4
647.604	644.6	648.2
648.021	632.6	643
648.439	645	642.6
648.835	648.8	649.6
649.252	655	643.8
649.67	651.2	645.8
650.088	650	653.2
650.484	651	655
650.902	659.6	656.4
651.32	654.4	654.8
651.738	647.6	639
652.134	652.6	653
652.552	657.4	667.2
652.971	653.2	656.6
653.389	648	649.8
653.786	657	671
654.204	658.6	675.4
654.622	639.4	643.8
655.019	648.6	655.2
655.438	645	654.8
655.857	645.8	649.4
656.275	648.8	660.2
656.673	638	638.2
657.091	727	728.2
657.51	643.6	646
657.908	669.6	664
658.327	666.2	664
658.746	639	631.6
659.144	656.2	647.2
659.563	667.8	659.4
659.982	653.2	641.8
660.38	653	646.8
660.8	649	651.4
661.219	655	669
661.617	648	652.2
662.037	651	651.4
662.457	675.2	665.6
662.855	642.2	633.8
663.275	683	681.6
663.695	654	650.4
664.094	642.2	642.8
664.514	653.8	655
664.934	642.8	641.8
665.333	659	667
665.753	643.2	649.2
666.152	644.4	633.2
666.572	643.2	644
666.993	663.8	671
667.392	639.8	639.8
667.812	652.8	647.6
668.212	637.4	650.8
668.632	663.2	656.4
669.053	651.2	644.2
669.453	652.4	656.4
669.874	655.2	641.2
670.273	651.2	646.4
670.694	634.8	640
671.116	658.8	664.2
671.515	654.8	657.2
671.937	639.6	649.4
672.337	651.2	642.8
672.758	641	645
673.158	661	652.6
673.58	636.6	639.8
673.98	646.2	659.2
674.402	664	670.6
674.824	646.4	643.4
675.224	641.6	649
675.646	642.4	639.8
676.047	640.8	640
676.469	647.6	638.8
676.869	657	655.2
677.292	647.2	640.6
677.693	642	639.6
678.115	645.2	639.6
678.516	655	651.8
678.939	646	660
679.34	644.4	640
679.762	656	662.6
680.164	654.2	655.2
680.586	638	631.6
680.988	647.6	646.8
681.411	672	672.8
681.812	640.2	649.8
682.236	640.2	634.8
682.637	638.2	646.6
683.061	634.8	636.6
683.462	651.4	653
683.864	639.2	649.8
684.288	649.2	650.6
684.69	636.6	639.6
685.114	655.6	659.8
685.516	655	655.8
685.94	643.4	639.2
686.342	655.8	656
686.766	641.2	634
687.168	641.4	635.4
687.571	666.2	662
687.995	644.2	646.8
688.398	639.2	634
688.822	646.4	647.2
689.225	659.2	662.2
689.628	665.6	670.6
690.052	646.2	645.4
690.456	657.2	650
690.88	648.2	647.6
691.284	627.2	644.2
691.687	658.2	651.6
692.112	635.2	644.4
692.515	637.2	637.8
692.919	642.2	645
693.344	658.4	637.4
693.747	646.6	646.4
694.173	640.6	637.2
694.577	661.8	656.2
694.98	640.6	651.8
695.406	648	645.2
695.81	658.6	652
696.214	651.4	656.4
696.64	651.8	653
697.044	655.8	643.4
697.448	656.8	664.8
697.874	649.6	650
698.279	647.4	642.2
698.684	641.6	638.6
699.11	640.4	638
699.514	647.8	642.8
699.919	646.4	647.8
